Code,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
300313.SZ,0.0013157894736842,0.093182932810201,0.0,1.3075344205134e-05
300269.SZ,0.0013157894736842,0.0982292878376631,0.0,3.871739812700967e-05
300159.SZ,0.0013157894736842,0.101023527847933,0.0,0.0008241345581474
300370.SZ,0.0026315789473684,0.0968769917144678,0.0026315789473684,0.0002207509062181
300338.SZ,0.0013157894736842,0.1075573167279932,0.0,0.0002572559108702
300029.SZ,0.0013157894736842,0.0874769797421731,0.0,6.575595446333488e-06
300301.SZ,0.0013157894736842,0.0968523002421307,0.0,0.0002110044711105
300201.SZ,0.0013157894736842,0.0883310088331008,0.0,4.636526563608077e-05
300256.SZ,0.0052631578947368,0.0690720712532945,0.0078843353442895,1.3663214858738028e-06
300044.SZ,0.0039473684210526,0.1227390180878553,0.0052596907287982,0.0046899002722121
300731.SZ,0.0013157894736842,0.1248152405977993,0.0,0.0120423039480466
300030.SZ,0.006578947368421,0.0703117772226848,0.0363358990361278,2.212207247665674e-06
300191.SZ,0.0013157894736842,0.1093682544250971,0.0,0.0009426323106289
300062.SZ,0.0026315789473684,0.0958506747383024,0.0026315789473684,3.168554726811205e-05
300026.SZ,0.0039473684210526,0.0754117880531851,0.0413251508217183,9.683129671197464e-06
300385.SZ,0.0026315789473684,0.068709881565862,0.0026315789473684,1.2494078043154296e-06
300487.SZ,0.0013157894736842,0.1226597805035506,0.0,0.0043408350697223
300647.SZ,0.0026315789473684,0.0969016957796761,0.0052562235628597,0.0002212246413739
300703.SZ,0.0013157894736842,0.1076030015574118,0.0,0.0065890224714703
300075.SZ,0.0052631578947368,0.122778675282714,0.0078843353442895,0.0048863673793403
300292.SZ,0.0052631578947368,0.1120943952802359,0.0105020456279037,0.0038419420962197
300622.SZ,0.0013157894736842,0.0642978003384094,0.0,2.4102104738830284e-07
300481.SZ,0.006578947368421,0.0898132829118411,0.0131197559115179,1.5193446590452436e-05
300425.SZ,0.0026315789473684,0.0959474813786138,0.0026315789473684,3.194896231880159e-05
300303.SZ,0.0026315789473684,0.1212121212121212,0.0052562235628597,0.0366138800591526
300322.SZ,0.0144736842105263,0.1425891181988743,0.1636641009638721,0.0624248953908095
300172.SZ,0.0026315789473684,0.0876181692414111,0.0026315789473684,7.274948887221593e-06
300781.SZ,0.0013157894736842,0.1008358763433727,0.0,0.0007736037782329
300493.SZ,0.0302631578947368,0.1572847682119205,0.598401636502323,0.6176463434757529
300667.SZ,0.0013157894736842,0.0967290314369352,0.0,3.817027714445437e-05
300553.SZ,0.0078947368421052,0.0968523002421307,0.0131232230774564,4.871335690055853e-05
300224.SZ,0.0013157894736842,0.0788299968882896,0.0,3.282782607629772e-05
300485.SZ,0.0026315789473684,0.0802619072763755,0.0026315789473684,4.192410393480531e-05
300417.SZ,0.0039473684210526,0.1199494949494949,0.0052596907287982,0.0269591006789371
300715.SZ,0.0013157894736842,0.0747149036570979,0.0,3.325706295828223e-07
300685.SZ,0.0026315789473684,0.0922330097087378,0.0052562235628597,1.1704377404362224e-05
300602.SZ,0.0039473684210526,0.0981151562096565,0.0052596907287982,0.0016854748238712
300263.SZ,0.0039473684210526,0.1360787824529991,0.007880868178351,0.128930621965706
300042.SZ,0.0013157894736842,0.1282700421940928,0.0,0.0011008246791636
300435.SZ,0.0026315789473684,0.0885987409652599,0.0026315789473684,1.0794910379613776e-05
300087.SZ,0.0013157894736842,0.0812052569718987,0.0,1.0220170263429216e-05
300214.SZ,0.0039473684210526,0.1267934601267934,0.0052596907287982,0.0672847384511899
300210.SZ,0.0013157894736842,0.0968523002421307,0.0,0.0002110044711105
300521.SZ,0.0013157894736842,0.0812921168039362,0.0,2.3543154014374484e-06
300099.SZ,0.0026315789473684,0.1010503922350751,0.0026315789473684,0.0008559892233973
300339.SZ,0.0039473684210526,0.104052573932092,0.0286006518271964,0.0033981976422357
300449.SZ,0.0013157894736842,0.1143889223359422,0.0,0.0003249455402746
300375.SZ,0.0039473684210526,0.0878612716763005,0.0052596907287982,8.981490161582395e-06
300444.SZ,0.006578947368421,0.1059676519799219,0.0183378406490534,0.0001463604899591
300476.SZ,0.0026315789473684,0.1212121212121212,0.0052562235628597,0.0366138800591526
300642.SZ,0.0013157894736842,0.0617534736328918,0.0,9.727990974466275e-08
300746.SZ,0.0026315789473684,0.1028834438879112,0.0026315789473684,7.693603651710237e-05
300253.SZ,0.0026315789473684,0.1083547191331622,0.0026315789473684,0.0002896308949849
300160.SZ,0.0026315789473684,0.0807394029533623,0.0026315789473684,1.951511908826026e-06
300354.SZ,0.0013157894736842,0.1143889223359422,0.0,0.0003249455402746
300518.SZ,0.0013157894736842,0.0883104810597257,0.0,1.0127442743181243e-05
300351.SZ,0.0013157894736842,0.1071781131011141,0.0,0.0052182457560619
300668.SZ,0.0039473684210526,0.1029252437703141,0.0208827404479578,0.0037154037216722
300320.SZ,0.0013157894736842,0.1267089029676558,0.0,0.0622769165272757
300737.SZ,0.0026315789473684,0.0807394029533623,0.0026315789473684,1.5968077959176807e-06
